,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,Poste actuel
860,['Web application to a dependency with fictitious APIs whose purpose is to test the Rest APIs even before they are put online.'],Web application to a dependency with fictitious APIs whose purpose is to test the Rest APIs even before they are put online.,,,,,,,,,,Engineering course
861,['unckown'],unckown,,,,,,,,,,Member
862,['unckown'],unckown,,,,,,,,,,Trainee
863,['unckown'],unckown,,,,,,,,,,web development 
864,['unckown'],unckown,,,,,,,,,,Trainee
865,['unckown'],unckown,,,,,,,,,,unckown
866,['المهارا的: Firebase · PostgreSQL · Node.js · Flutter'],المهارا的: Firebase · PostgreSQL · Node.js · Flutter,,,,,,,,,,Mobile Developer
867,['unckown'],unckown,,,,,,,,,,Full-stack Developer
868,['unckown'],unckown,,,,,,,,,,RCS Developer
869,['unckown'],unckown,,,,,,,,,,unckown
870,['unckown'],unckown,,,,,,,,,,Software Developer
871,['unckown'],unckown,,,,,,,,,,unckown
872,['unckown'],unckown,,,,,,,,,,Computer Science Teacher
873,['unckown'],unckown,,,,,,,,,,Trainee
874,['Subject: Development of a mobile app for culinary recommendations'],Subject: Development of a mobile app for culinary recommendations,,,,,,,,,,Frontend Developer
875,['Development and design of a web application to manage integration projects.'],Development and design of a web application to manage integration projects.,,,,,,,,,,Engineering course
876,['unckown'],unckown,,,,,,,,,,Trainee
877,['Development of a web-based client account management application with the.NET framework.'],Development of a web-based client account management application with the.NET framework.,,,,,,,,,,Trainee
878,['unckown'],unckown,,,,,,,,,,unckown
879,['unckown'],unckown,,,,,,,,,,Software Architecture Engineer
880,"['I joined a team composed of 3 people, We worked with the agile scrum methodology to make the design (Diagrams + Project Management...) as well as in the development part of an E-commerce application', 'Keywords : SpringBoot, Angular, MongoDB, MaterialUI, BootStrap, Git, GitLab, SCRUM, JIRA']","I joined a team composed of 3 people, We worked with the agile scrum methodology to make the design (Diagrams + Project Management...) as well as in the development part of an E-commerce application","Keywords : SpringBoot, Angular, MongoDB, MaterialUI, BootStrap, Git, GitLab, SCRUM, JIRA",,,,,,,,,Trainee Engineer IT Full-stack
881,['المهارا的: Symfony'],المهارا的: Symfony,,,,,,,,,,PHP Web Developer
882,"['Complete the end of studies project entitled ""Resolution and implementation of a captive portal "" which essentially includes two parts: Modeling and simulation of network topology and the creation of a website']","Complete the end of studies project entitled ""Resolution and implementation of a captive portal "" which essentially includes two parts: Modeling and simulation of network topology and the creation of a website",,,,,,,,,,Internship Trainee
883,['unckown'],unckown,,,,,,,,,,Software Engineering
884,['unckown'],unckown,,,,,,,,,,unckown
885,['Skills: Python (programming language) · Supervised learning · R · Statistics · Statistical data analysis · Statistical modelling'],Skills: Python (programming language) · Supervised learning · R · Statistics · Statistical data analysis · Statistical modelling,,,,,,,,,,Student
886,['unckown'],unckown,,,,,,,,,,JAVA Teacher
887,['unckown'],unckown,,,,,,,,,,Member
888,['unckown'],unckown,,,,,,,,,,Junior AI Engineer
889,['unckown'],unckown,,,,,,,,,,Chargé d'Études Actuarielles
890,"['- Provide business intelligence, data analytics, metrics, and reporting.', '- Various data management tools and applications to create innovative reports, analytics, and visualizations.', '- Translate policy and strategic initiatives into quantitative data analysis and investigative data research.', '- Support process design, development, improvement, and implementation/user adoption.', '- Support project management activities.']","- Provide business intelligence, data analytics, metrics, and reporting.","- Various data management tools and applications to create innovative reports, analytics, and visualizations.",- Translate policy and strategic initiatives into quantitative data analysis and investigative data research.,"- Support process design, development, improvement, and implementation/user adoption.",- Support project management activities.,,,,,,Business Intelligence Consultant
891,"['• Led daily scrums to discussions current day-s goals, previous day-s achievements, and', 'any impediments or concerns in an Agile Scrum environment.', '• Involved in all the internships of Software Development Life Cycle like Application', 'Design, Development, Debugging and Testing all applications.', '• Build a Cross-Platform Mobile Application.']","• Led daily scrums to discussions current day-s goals, previous day-s achievements, and",any impediments or concerns in an Agile Scrum environment.,• Involved in all the internships of Software Development Life Cycle like Application,"Design, Development, Debugging and Testing all applications.",• Build a Cross-Platform Mobile Application.,,,,,,Full Stack Developer
892,['DevOps Cloud Support Engineer at AWS Deployment team.'],DevOps Cloud Support Engineer at AWS Deployment team.,,,,,,,,,,DevOps Cloud Support Engineer (Containers)
893,['unckown'],unckown,,,,,,,,,,Developer and Mobile Services Cloud Support Engineer
894,['unckown'],unckown,,,,,,,,,,Data Analyst
895,['unckown'],unckown,,,,,,,,,,Business Intelligence Internal
896,['unckown'],unckown,,,,,,,,,,BI Consultant
897,['unckown'],unckown,,,,,,,,,,Teacher trainer
898,['Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS)'],Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS),,,,,,,,,,Business Intelligence Internal
899,['The php language and the Laravel framework were used to create a web application for enterprise administration ERP.'],The php language and the Laravel framework were used to create a web application for enterprise administration ERP.,,,,,,,,,,Student Internship
900,['unckown'],unckown,,,,,,,,,,unckown
901,['unckown'],unckown,,,,,,,,,,ERP-BI internal
902,['unckown'],unckown,,,,,,,,,,Business Intelligence Internal
903,['Back-development'],Back-development,,,,,,,,,,Trainee
904,['unckown'],unckown,,,,,,,,,,Business Intelligence Engineer
905,['unckown'],unckown,,,,,,,,,,Data Analyst Internal
906,['unckown'],unckown,,,,,,,,,,Consultant Business Intelligence
907,['unckown'],unckown,,,,,,,,,,Junior Business Intelligence developer
908,['Skills: Microsoft Excel'],Skills: Microsoft Excel,,,,,,,,,,Business Intelligence Internal
909,"['Project Internship End of Study: ', '-Realization of the functional study.', '-Participation in all phases of ETL. ', '-Dashboard development.', '-Prediction using Machine learning algorithms.', '-Integrate the solution into a web interface using the Django Framework.']",Project Internship End of Study: ,-Realization of the functional study.,-Participation in all phases of ETL. ,-Dashboard development.,-Prediction using Machine learning algorithms.,-Integrate the solution into a web interface using the Django Framework.,,,,,Business Intelligence Trainee
910,['Skills: ETL Tools · SQL · Business Intelligence (BI) · Python (Programming Language) · Talend Open Studio · Microsoft Excel · Microsoft Power BI'],Skills: ETL Tools · SQL · Business Intelligence (BI) · Python (Programming Language) · Talend Open Studio · Microsoft Excel · Microsoft Power BI,,,,,,,,,,Business Intelligence Consultant
911,['Study and Administration of The ERP SageX3'],Study and Administration of The ERP SageX3,,,,,,,,,,ERP-BI Internal at Adwya
912,['unckown'],unckown,,,,,,,,,,Business Intelligence Engineer
913,"['• Informatica Powercenter Consultant', '', ""- Managing VWFS's decision-making system"", '- Development of mappings/workflows under Informatica Powercenter.', '- Preparation of SQL scripts (table creation scripts, queries to check the correct calculation of KPIs).', '', '• Technical environment: Oracle, Informatica PowerCenter, SAP BO, Jira, CyberArk, Oracle SQL Developer, GitLab']",• Informatica Powercenter Consultant,,- Managing VWFS's decision-making system,- Development of mappings/workflows under Informatica Powercenter.,"- Preparation of SQL scripts (table creation scripts, queries to check the correct calculation of KPIs).",,"• Technical environment: Oracle, Informatica PowerCenter, SAP BO, Jira, CyberArk, Oracle SQL Developer, GitLab",,,,Data的 Business Intelligence Consultant
914,['unckown'],unckown,,,,,,,,,,Co-founder & CEO
915,['unckown'],unckown,,,,,,,,,,Data Analyst
916,['Study and configuration of MDM interfaces with SAP'],Study and configuration of MDM interfaces with SAP,,,,,,,,,,SAP Bases Consultant
917,"['Design Dashboards, developer, test, implementation of data ingestion, transformation, and extraction to and from Big Data/cloud Platforms.']","Design Dashboards, developer, test, implementation of data ingestion, transformation, and extraction to and from Big Data/cloud Platforms.",,,,,,,,,,Data Engineer
918,['unckown'],unckown,,,,,,,,,,Business Intelligence Analyst
919,"['- Collection and extraction of data sources.', '- Processing, operation and integration of data into a data warehouse.', '- Creation of dashboards, implementation of KPIs and reporting of performance to give a coherent vision of results to managers.']",- Collection and extraction of data sources.,"- Processing, operation and integration of data into a data warehouse.","- Creation of dashboards, implementation of KPIs and reporting of performance to give a coherent vision of results to managers.",,,,,,,,Business intelligence analytics
920,['unckown'],unckown,,,,,,,,,,Engineer BI
921,['unckown'],unckown,,,,,,,,,,Data & Analytics consultant
922,"['Consultant Business intelligence ', 'Qlik Sense, Qlik View, MSBI, Talend']",Consultant Business intelligence ,"Qlik Sense, Qlik View, MSBI, Talend",,,,,,,,,Consultant Business Intelligence
923,['unckown'],unckown,,,,,,,,,,Business Intelligence Engineer
924,"['Help clients to exploit their data and analyse their business for better decision-making through:', ' * Participation in the feeding phase.', ' * Participation in the modelling and storage phase.', ' *Participation in the visualization phase']",Help clients to exploit their data and analyse their business for better decision-making through:, * Participation in the feeding phase., * Participation in the modelling and storage phase., *Participation in the visualization phase,,,,,,,Business Intelligence Consultant
925,['unckown'],unckown,,,,,,,,,,Business Intelligence Internal
926,['unckown'],unckown,,,,,,,,,,unckown
927,['unckown'],unckown,,,,,,,,,,Business Intelligence Consultant
928,['unckown'],unckown,,,,,,,,,,Business Intelligence Consultant
929,['Skills: Laravel · JavaScript'],Skills: Laravel · JavaScript,,,,,,,,,,Developer front-end
930,"['Setting up a Datawarehouse:', '• Preparation of technical and functional documentation.', '• Modelling and mapping data from different sources to ODS and DWH databases.', '• Development of SSIS packages to load databases (initial and incremental).', '• Planning of loading jobs.', '• Optimization of SQL queries.', '• Creating relationships with Power BI', 'Technology:', '- Microsoft BI (SSIS), SQL Server, Erwin, Power BI.']",Setting up a Datawarehouse:,• Preparation of technical and functional documentation.,• Modelling and mapping data from different sources to ODS and DWH databases.,• Development of SSIS packages to load databases (initial and incremental).,• Planning of loading jobs.,• Optimization of SQL queries.,• Creating relationships with Power BI,Technology:,"- Microsoft BI (SSIS), SQL Server, Erwin, Power BI.",,Consultant Business intelligence
931,['Skills: After Effects · User Experience (UX) · Adobe Photoshop · Adobe Illustrator · Figma (Software)'],Skills: After Effects · User Experience (UX) · Adobe Photoshop · Adobe Illustrator · Figma (Software),,,,,,,,,,Senior Graphic Designer
932,"['Setting up a decision platform for a wimbee client using JasperReports', 'Keywords : SSMS, Talend, jaspersoft studio ']",Setting up a decision platform for a wimbee client using JasperReports,"Keywords : SSMS, Talend, jaspersoft studio ",,,,,,,,,Data analytics internal
933,['unckown'],unckown,,,,,,,,,,Founder and Communication Manager
934,['Skills: SAP Analytics Cloud · SAP BW · SAP BI'],Skills: SAP Analytics Cloud · SAP BW · SAP BI,,,,,,,,,,Business Intelligence Engineer
935,['Skills: Business Intelligence (BI) · Microsoft Dynamics AX · SQL'],Skills: Business Intelligence (BI) · Microsoft Dynamics AX · SQL,,,,,,,,,,Business Intelligence Internal
936,['unckown'],unckown,,,,,,,,,,Data Analyst
937,"['Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.', 'this solution based on 3 steps:', '1/Data prepertion: data clearing with Python and R', '2/Elaborate the modelling phase', '3/Creating a predictive model']",Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.,this solution based on 3 steps:,1/Data prepertion: data clearing with Python and R,2/Elaborate the modelling phase,3/Creating a predictive model,,,,,,Business Intelligence Developer
938,['unckown'],unckown,,,,,,,,,,unckown
939,['Collateral management and analysis'],Collateral management and analysis,,,,,,,,,,Business Intelligence Internal
940,['Skills: Microsoft Power BI · SQL Server Management Studio · Microsoft SQL Server · SQL'],Skills: Microsoft Power BI · SQL Server Management Studio · Microsoft SQL Server · SQL,,,,,,,,,,Business Intelligence Internal
941,['unckown'],unckown,,,,,,,,,,Business Intelligence Developer
942,['unckown'],unckown,,,,,,,,,,unckown
943,"[""I'm currently a we3 developer at Lightency.""]",I'm currently a we3 developer at Lightency.,,,,,,,,,,web3 developer
944,['Skills: Microsoft Power BI · Talend · R · Microsoft Excel'],Skills: Microsoft Power BI · Talend · R · Microsoft Excel,,,,,,,,,,Business Intelligence Internal
945,['Skills: Databases'],Skills: Databases,,,,,,,,,,Student engineer
946,['unckown'],unckown,,,,,,,,,,Consultant Business Intelligence
947,['Skills: JIRA · Teamwork · Tableau · MySQL · Microsoft Excel'],Skills: JIRA · Teamwork · Tableau · MySQL · Microsoft Excel,,,,,,,,,,Data Analyst
948,"['creation of a decision-making solution to analyze workload and capacity in order to estimate the number of hires in the next 5 years for all departments of the Airbus helicopter client.', '-Updating the Macro (VBA) of the various Excel files', '-Extraction, transformation and download of data', '-Deployment of OLAP cubes', '-Implementing dynamic decision-making relationships ', 'Environment: Visual Basic for Applications (VBA), Excel, SAP PCB', '', 'Implementation of a form for applications for the export control of Airbus helicopter, extraction of data and development of a dashboard in order to have a comprehensive and profound view of the analyses of the applications, their follow-up and their progress. ', '-Implementing a form for applications ', '-Implementing a website that allows users to track their requests. ', '-Extraction, transformation and download of data', '-Put in place a decision-making dashboard.', 'Environment : Google Forms, Google Sites, App Scripts, Data Studio']",creation of a decision-making solution to analyze workload and capacity in order to estimate the number of hires in the next 5 years for all departments of the Airbus helicopter client.,-Updating the Macro (VBA) of the various Excel files,"-Extraction, transformation and download of data",-Deployment of OLAP cubes,-Implementing dynamic decision-making relationships ,"Environment: Visual Basic for Applications (VBA), Excel, SAP PCB",,"Implementation of a form for applications for the export control of Airbus helicopter, extraction of data and development of a dashboard in order to have a comprehensive and profound view of the analyses of the applications, their follow-up and their progress. ",-Implementing a form for applications ,-Implementing a website that allows users to track their requests. ,Intern Data Analyst
949,"['National Observatory Project:', 'Drafting of technical and functional specifications', 'Development of different data integration packages', 'Cadming', 'Pilotage']",National Observatory Project:,Drafting of technical and functional specifications,Development of different data integration packages,Cadming,Pilotage,,,,,,Business Intelligence Consultant
950,['unckown'],unckown,,,,,,,,,,Business Intelligence Developer
951,['unckown'],unckown,,,,,,,,,,Teacher-Trainer : BIG DATA
952,['Skills: Django · Angular · redash · ClickHouse'],Skills: Django · Angular · redash · ClickHouse,,,,,,,,,,Full Stack Engineer
953,['Skills: Data collection · Data warehouse · Data analysis · Teamwork · Microsoft Power BI'],Skills: Data collection · Data warehouse · Data analysis · Teamwork · Microsoft Power BI,,,,,,,,,,Trainee
954,"['• Analyze and identify functional and technical needs.', '• Model and enrich the datawarehouse.', '• Scheduling and deployment of jobs.', '• Guidance: Training and mentoring of trainees for end-of-studies projects']",• Analyze and identify functional and technical needs.,• Model and enrich the datawarehouse.,• Scheduling and deployment of jobs.,• Guidance: Training and mentoring of trainees for end-of-studies projects,,,,,,,Consultant business intelligence
955,['unckown'],unckown,,,,,,,,,,Engineer BI
956,['unckown'],unckown,,,,,,,,,,unckown
957,"[""I'm currently working on implementing a reporting platform for a municipality's Commercial performance. This platform will provide valuable insights and support data-driven decision making for the municipality. I'm using advanced technologies like Data Warehouse and PowerBI to create a user-friendly interface for monitoring and analysis key metrics. As a Business Intelligence Internal, I'm able to apply my technical skills and knowledge to make a positive impact on the success of the municipality. This internship is a valuable opportunity for me to gain hands-on experience in Business Intelligence, data analysis, and technology implementation and enhancement my resume.""]","I'm currently working on implementing a reporting platform for a municipality's Commercial performance. This platform will provide valuable insights and support data-driven decision making for the municipality. I'm using advanced technologies like Data Warehouse and PowerBI to create a user-friendly interface for monitoring and analysis key metrics. As a Business Intelligence Internal, I'm able to apply my technical skills and knowledge to make a positive impact on the success of the municipality. This internship is a valuable opportunity for me to gain hands-on experience in Business Intelligence, data analysis, and technology implementation and enhancement my resume.",,,,,,,,,,Business Intelligence Internal
958,"['Designed ML algorithm using OCR (extracting handwriter information from scans, photos, and other low-quality digital documents) that assessed up to 75% efficiency.', 'The ability to extract information from financial documents based on machine learning and deep learning, and integrate this solution into a web application (Python, Html, CSS, Flask).']","Designed ML algorithm using OCR (extracting handwriter information from scans, photos, and other low-quality digital documents) that assessed up to 75% efficiency.","The ability to extract information from financial documents based on machine learning and deep learning, and integrate this solution into a web application (Python, Html, CSS, Flask).",,,,,,,,,Machine Learning Engineer
959,['unckown'],unckown,,,,,,,,,,Artificial Intelligence Internal
960,['Skills: DASH · SQL · Python (Programming Language) · Flask · vaex'],Skills: DASH · SQL · Python (Programming Language) · Flask · vaex,,,,,,,,,,Junior Solutions Architect
961,['unckown'],unckown,,,,,,,,,,unckown
962,['Skills: Business Analytics · Data Visualization'],Skills: Business Analytics · Data Visualization,,,,,,,,,,Student
963,['unckown'],unckown,,,,,,,,,,Student
964,['unckown'],unckown,,,,,,,,,,Data consultant
965,['unckown'],unckown,,,,,,,,,,unckown
966,['Skills: Microsoft Power BI · Project Management'],Skills: Microsoft Power BI · Project Management,,,,,,,,,,Business intelligence
967,['Design and development of a facial recognition solution using multiple facial recognition models.'],Design and development of a facial recognition solution using multiple facial recognition models.,,,,,,,,,,Internal
968,['Skills: QlikView · Microsoft Power BI · Talend'],Skills: QlikView · Microsoft Power BI · Talend,,,,,,,,,,Business Intelligence Consultant
969,['unckown'],unckown,,,,,,,,,,DevOps Data & BI Engineer
970,['unckown'],unckown,,,,,,,,,,Junior Development Engineer
971,['Competencies : Angular CLI · Framework Spring · MySQL'],Competencies : Angular CLI · Framework Spring · MySQL,,,,,,,,,,Full Stack Engineer
972,"['JavaEE Teacher & Framework Spring ', 'Teacher Continuous Integration CI, DevOps', 'Head of Internships (RS) [Option: Software Engineering Ex:INFOB]', 'Spring alternance trainer, Continuous integration CI - Vermeg', 'Coach Angular - Integration and Development Projects ESPRIT']",JavaEE Teacher & Framework Spring ,"Teacher Continuous Integration CI, DevOps",Head of Internships (RS) [Option: Software Engineering Ex:INFOB],"Spring alternance trainer, Continuous integration CI - Vermeg",Coach Angular - Integration and Development Projects ESPRIT,,,,,,Computer technologist
973,['unckown'],unckown,,,,,,,,,,Student
974,['unckown'],unckown,,,,,,,,,,Intern in Web Development
975,['Skills : Framework Spring · React.js · JavaScript · Java'],Skills : Framework Spring · React.js · JavaScript · Java,,,,,,,,,,Full-stack Developer
976,['unckown'],unckown,,,,,,,,,,Full Stack JS Project Coordinator
977,['unckown'],unckown,,,,,,,,,,Software Engineer
978,['Skills : Spring Security · Angular · MySQL · Spring Boot'],Skills : Spring Security · Angular · MySQL · Spring Boot,,,,,,,,,,Intern in Web Development
979,"['Internship in Business,', 'Project: Development of an INTERNO platform specifically dedicated to the STEG administrative team in order to enable them to better control the management of trainees.']","Internship in Business,",Project: Development of an INTERNO platform specifically dedicated to the STEG administrative team in order to enable them to better control the management of trainees.,,,,,,,,,Trainee
980,['unckown'],unckown,,,,,,,,,,Full-stack Js Developer
981,['unckown'],unckown,,,,,,,,,,Full stack engineer
982,['unckown'],unckown,,,,,,,,,,Full stack engineer
983,['unckown'],unckown,,,,,,,,,,Project trainee
984,['unckown'],unckown,,,,,,,,,,Full Stack Developer
985,['unckown'],unckown,,,,,,,,,,Telemarketer in a call centre
986,['unckown'],unckown,,,,,,,,,,Junior Software Engineer
987,['unckown'],unckown,,,,,,,,,,Web developer
988,['Skills : Sonarqube · ASP.NET ·.NET Framework · docker · Gitlab · Jenkins · Continuous Integration and Continuous Delivery (CI/CD) · JIRA · Angular'],Skills : Sonarqube · ASP.NET ·.NET Framework · docker · Gitlab · Jenkins · Continuous Integration and Continuous Delivery (CI/CD) · JIRA · Angular,,,,,,,,,,Full Stack Developer Angular/.Net
989,"['• Overall aircraft design', '• Multidisciplinary optimization and analysis', '• Plan of experiments', '• GEMSEO (generic engine for the exploration and optimization of multidisciplinary scenarios)', '• SoSTrades (Comparative System Analysis)']",• Overall aircraft design,• Multidisciplinary optimization and analysis,• Plan of experiments,• GEMSEO (generic engine for the exploration and optimization of multidisciplinary scenarios),• SoSTrades (Comparative System Analysis),,,,,,Aeronautics Engineer
990,"['Certification and market risk analysis [Greeks, VaR/Press tests]', '', 'Monitoring of limit frames and explanation of exceedances', '', 'Analysis and certification of PnL', '', 'Trade with trading', '', 'Respond to ""Special Request"" requests from our partners (Trade or Risk Directorate)', '', 'Participate in the specification and analysis on regulatory subjects (FRTB)', '', 'Develop VBA or Python tools to follow the book exhibition']","Certification and market risk analysis [Greeks, VaR/Press tests]",,Monitoring of limit frames and explanation of exceedances,,Analysis and certification of PnL,,Trade with trading,,"Respond to ""Special Request"" requests from our partners (Trade or Risk Directorate)",,Analyst Follow-up of Fixed Income Market Activities
991,"['Internship at the National Laboratory of the Fields Magnétiques Intenses - LNCMI Grenoble (the multidisciplinary project in collaboration with CEA, G2Elab and STL).', '', 'Subject: Energy optimisation of a LNCMI fatal heat recovery system using the OMEGAlpes software', '', 'Note: OMEGAlpes is an open-source tool developed in G2ELab, encoded in python and based on MILP formalism.', '', 'Missions: ', '- Creation of a database on the sizes needed for optimization.', '- The modeling and dimensioning of the recovery system by the OMEGAlpes decision support tool.', '- Study of possible scenarios for CO2 reduction and the share of residual heat recovered by the system.', '', 'Results: ', 'The study shows the technical and economic feasibility of the project and will lead to concrete actions on the ground. It will begin in early 2023.']","Internship at the National Laboratory of the Fields Magnétiques Intenses - LNCMI Grenoble (the multidisciplinary project in collaboration with CEA, G2Elab and STL).",,Subject: Energy optimisation of a LNCMI fatal heat recovery system using the OMEGAlpes software,,"Note: OMEGAlpes is an open-source tool developed in G2ELab, encoded in python and based on MILP formalism.",,Missions: ,- Creation of a database on the sizes needed for optimization.,- The modeling and dimensioning of the recovery system by the OMEGAlpes decision support tool.,- Study of possible scenarios for CO2 reduction and the share of residual heat recovered by the system.,R&D Engineer Assistant
992,"['I joined a team of 9 people, We worked with the agile scrum methodology to make the design (Diagrams + Project Management...) as well as in the development part of the Customer Relationship Management (CRM) application.', 'Keywords : SpringBoot, Angular, MongoDB, MaterialUI, BootStrap, Git, GitLab, SCRUM, JIRA']","I joined a team of 9 people, We worked with the agile scrum methodology to make the design (Diagrams + Project Management...) as well as in the development part of the Customer Relationship Management (CRM) application.","Keywords : SpringBoot, Angular, MongoDB, MaterialUI, BootStrap, Git, GitLab, SCRUM, JIRA",,,,,,,,,Trainee Engineer IT Full-stack
993,"['Subject: AutoML Tool Benchmark: Usage Case, Performance Measurement and Integration ', '', 'Main tasks:', ""▪的 Achievement of the state of the art of AutoML's techniques"", '▪的 Cartography at the date of the various AutoML packages for use in products in production', '▪的 Implementation of an opensource AutoML reproducible library evaluation test bench', '▪的 Evaluation of AutoML on a TotalEnergy Use Case: Real-time prediction of offshore & onshore oil platform production', '▪的 Shell.ai hackathon participation: Sustainable and Affordable Energy (final ranking: top 20/1200)', '▪的 Implementation of an internal open-source library at the Total Digital Factory (DSAutoML): Centralization of 4 AutoML packages within a single tool allowing rapid benchmarking and prototyping of high-performance ML models for the Data Scientist', '▪的 Writing a Medium Article']","Subject: AutoML Tool Benchmark: Usage Case, Performance Measurement and Integration ",,Main tasks:,▪的 Achievement of the state of the art of AutoML's techniques,▪的 Cartography at the date of the various AutoML packages for use in products in production,▪的 Implementation of an opensource AutoML reproducible library evaluation test bench,▪的 Evaluation of AutoML on a TotalEnergy Use Case: Real-time prediction of offshore & onshore oil platform production,▪的 Shell.ai hackathon participation: Sustainable and Affordable Energy (final ranking: top 20/1200),▪的 Implementation of an internal open-source library at the Total Digital Factory (DSAutoML): Centralization of 4 AutoML packages within a single tool allowing rapid benchmarking and prototyping of high-performance ML models for the Data Scientist,▪的 Writing a Medium Article,Data Scientist
994,['Skills : Python · React.js'],Skills : Python · React.js,,,,,,,,,,Developer Assistant
995,['unckown'],unckown,,,,,,,,,,Process Development Engineer 1
996,"['Thales Digital Services', '', 'Software verification and validation of laboratory instruments.']",Thales Digital Services,,Software verification and validation of laboratory instruments.,,,,,,,,Validation & Software Verification Engineer
997,['Skills : Nova · Moneris · GitHub · Laravel · View.js · PHP · SQL'],Skills : Nova · Moneris · GitHub · Laravel · View.js · PHP · SQL,,,,,,,,,,Back-end developer
998,['unckown'],unckown,,,,,,,,,,Student
999,"['Development of authentication and dashboard to monitor and plan work orders.', 'Technologies used: Angular and SpringBoot.']",Development of authentication and dashboard to monitor and plan work orders.,Technologies used: Angular and SpringBoot.,,,,,,,,,Trainee
1000,"['Development and own the vision and roadmap of the platform and management aspects', 'of our core product solutions.', '', 'Support lengther-term visions and plans for new products development (included Product Owner Agile responsibilities). Support launch of new products & features into new markets & segments.', '', 'Priority in agile mode, in order to deliver constant added value to the customer while optimizing engineering resources.', '', 'Raising government funding to create technological innovations', '', ""Member of the CyberEco team 'Your multi-sectoral reference in cybersecurity in Quebec and Canada'""]",Development and own the vision and roadmap of the platform and management aspects,of our core product solutions.,,Support lengther-term visions and plans for new products development (included Product Owner Agile responsibilities). Support launch of new products & features into new markets & segments.,,"Priority in agile mode, in order to deliver constant added value to the customer while optimizing engineering resources.",,Raising government funding to create technological innovations,,Member of the CyberEco team 'Your multi-sectoral reference in cybersecurity in Quebec and Canada',Product Manager
1001,['Competencies : Java · React.js'],Competencies : Java · React.js,,,,,,,,,,Software Engineer
1002,['unckown'],unckown,,,,,,,,,,Business Intelligence Team Lead
1003,"['INGENIANCE specializes in consulting and engineering in market finance, banking and insurance. Our consultants are involved in missions related to information systems and market finance within the major banking, financial and insurer groups in the Place de Paris.', '', 'Since 2012, INGENIANCE has grown between 25 and 40% per year. In 2022, we plan to recruit 160 staff (consultants and staff at headquarters).', '', 'If you are a computer engineer (data engineer, data scientist, developer C++, Java, C#, Python, Scala...), functional consultant (market finance, banking or insurance), project manager, PMO, Risk manager, Quant, Commando or professional of business functions or recruitment, internship or CDI.', '', ""I'm interested in your profile so let's meet""]","INGENIANCE specializes in consulting and engineering in market finance, banking and insurance. Our consultants are involved in missions related to information systems and market finance within the major banking, financial and insurer groups in the Place de Paris.",,"Since 2012, INGENIANCE has grown between 25 and 40% per year. In 2022, we plan to recruit 160 staff (consultants and staff at headquarters).",,"If you are a computer engineer (data engineer, data scientist, developer C++, Java, C#, Python, Scala...), functional consultant (market finance, banking or insurance), project manager, PMO, Risk manager, Quant, Commando or professional of business functions or recruitment, internship or CDI.",,I'm interested in your profile so let's meet,,,,Talent Acquisition Specialist
1004,"['Internship in mobile development', 'Subject: Development of an application for log management  ', 'Technologies : React Native / MongoDB']",Internship in mobile development,Subject: Development of an application for log management  ,Technologies : React Native / MongoDB,,,,,,,,Trainee
1005,['unckown'],unckown,,,,,,,,,,Team Lead
1006,['unckown'],unckown,,,,,,,,,,Software Engineer ( Spring boot)
1007,['unckown'],unckown,,,,,,,,,,Research Engineer (PhD Candidate)
1008,['unckown'],unckown,,,,,,,,,,Director Africa
1009,['unckown'],unckown,,,,,,,,,,unckown
1010,['unckown'],unckown,,,,,,,,,,Managing Director
1011,['unckown'],unckown,,,,,,,,,,Computer consultant
1012,['Skills: Automatic learning · Improvement of business processes · Pedagogical research · Python (programming language) · Agile methods'],Skills: Automatic learning · Improvement of business processes · Pedagogical research · Python (programming language) · Agile methods,,,,,,,,,,Head of the electromechanical department
1013,['Skills : Capital market · Equity · Financial Markets · Derivatives'],Skills : Capital market · Equity · Financial Markets · Derivatives,,,,,,,,,,Strategic Equity & Financing Advisory Support
1014,"['• Build Cloud Native platforms based on Kubernetes, GKE, AWS', '• Automatic tasks by scripting and using CI/CD tools', '• Operating microservices from development to large scale production environments', '• Support development teams on Operations related to their software', '• Participant to cost optimisation, following FinOps approach']","• Build Cloud Native platforms based on Kubernetes, GKE, AWS",• Automatic tasks by scripting and using CI/CD tools,• Operating microservices from development to large scale production environments,• Support development teams on Operations related to their software,"• Participant to cost optimisation, following FinOps approach",,,,,,Devops Engineer
1015,['Skills: Training and innovation · Mastering information and communication technologies · Working as a team'],Skills: Training and innovation · Mastering information and communication technologies · Working as a team,,,,,,,,,,Teacher-Trainer
1016,['unckown'],unckown,,,,,,,,,,IoT & Asset Management Consultant
1017,['unckown'],unckown,,,,,,,,,,Technical Blockchain Team Leader
