,Unnamed: 0,jobTitle,skills,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,word_tokenized1,word_tokenized2,word_tokenized3,word_tokenized4,word_tokenized5,word_tokenized6,word_tokenized7,word_tokenized8,word_tokenized9,word_tokenized10,clean_words1,clean_words2,clean_words3,clean_words4,clean_words5,clean_words6,clean_words7,clean_words8,clean_words9,clean_words10,clean_stemmed1,clean_stemmed2,clean_stemmed3,clean_stemmed4,clean_stemmed5,clean_stemmed6,clean_stemmed7,clean_stemmed8,clean_stemmed9,clean_stemmed10,clean_lemmed1,clean_lemmed2,clean_lemmed3,clean_lemmed4,clean_lemmed5,clean_lemmed6,clean_lemmed7,clean_lemmed8,clean_lemmed9,clean_lemmed10,cluster
1023,1023,Machining Technician Expert,PowerMillAutoCADCATIAMastercamDP ESPRITCNC Programming,"['- Read and interpret engineering drawing and blueprints.', '- Verification of new product designs to verify their functionality and tools required.', '- Create multi-axis CNC programs for twin turret lathes, 4 axis mills using CAD/CAM software, ', 'Mastercam, AutoCAD.', '- Analysis of the program using Vericut and CIMCO.', '- Program, set up and operate a variety of conventional and CNC machines... ', 'Control.', '- Performs precision work to exact tolerances for Tools R&D and/or Production Engineering.', '- Development of concepts, ideas, and methods for solving milling / machining problems.', '- Mount, install, align, and secure tools, attachments, fixtures, and work-pieces on machines, using ', 'hand tools and precision measuring instruments.', '- Transfer programs from servers to CNC machines, using computer network links, USB drives.', '- Verify dimensions of products for accuracy and conformity to specifications using precision ', 'measuring instruments.', '- Communicate effectively with Manufacturing Engineering, Product Development Engineering, plant ', 'personnel and individuals outside the company.', '- Reducing the cycle time, ensuring the quality of the product, minimizing tools consumption.']",- Read and interpret engineering drawing and blueprints.,- Verification of new product designs to verify their functionality and tools required.,"- Create multi-axis CNC programs for twin turret lathes, 4 axis mills using CAD/CAM software, ","Mastercam, AutoCAD.",- Analysis of the program using Vericut and CIMCO.,"- Program, set up and operate a variety of conventional and CNC machines... ",Control.,- Performs precision work to exact tolerances for Tools R&D and/or Production Engineering.,"- Development of concepts, ideas, and methods for solving milling / machining problems.","- Mount, install, align, and secure tools, attachments, fixtures, and work-pieces on machines, using ","['Read', 'interpret', 'engineering', 'drawing', 'blueprints']","['Verification', 'new', 'product', 'designs', 'verify', 'functionality', 'tools', 'required']","['Create', 'multi', 'axis', 'CNC', 'programs', 'twin', 'turret', 'lathes', '4', 'axis', 'mills', 'using', 'CAD', 'CAM', 'software']","['Mastercam', 'AutoCAD']","['Analysis', 'program', 'using', 'Vericut', 'CIMCO']","['Program', 'set', 'operate', 'variety', 'conventional', 'CNC', 'machines']",['Control'],"['Performs', 'precision', 'work', 'exact', 'tolerances', 'Tools', 'R', 'D', 'Production', 'Engineering']","['Development', 'concepts', 'ideas', 'methods', 'solving', 'milling', 'machining', 'problems']","['Mount', 'install', 'align', 'secure', 'tools', 'attachments', 'fixtures', 'work', 'pieces', 'machines', 'using']","['Read', 'interpret', 'engineering', 'drawing', 'blueprints']","['Verification', 'new', 'product', 'designs', 'verify', 'functionality', 'tools', 'required']","['Create', 'multi', 'axis', 'CNC', 'programs', 'twin', 'turret', 'lathes', '4', 'axis', 'mills', 'using', 'CAD', 'CAM', 'software']","['Mastercam', 'AutoCAD']","['Analysis', 'program', 'using', 'Vericut', 'CIMCO']","['Program', 'set', 'operate', 'variety', 'conventional', 'CNC', 'machines']",['Control'],"['Performs', 'precision', 'work', 'exact', 'tolerances', 'Tools', 'R', 'D', 'Production', 'Engineering']","['Development', 'concepts', 'ideas', 'methods', 'solving', 'milling', 'machining', 'problems']","['Mount', 'install', 'align', 'secure', 'tools', 'attachments', 'fixtures', 'work', 'pieces', 'machines', 'using']","['read', 'interpret', 'engin', 'draw', 'blueprint']","['verif', 'new', 'product', 'design', 'verifi', 'function', 'tool', 'requir']","['creat', 'multi', 'axi', 'cnc', 'program', 'twin', 'turret', 'lath', '4', 'axi', 'mill', 'use', 'cad', 'cam', 'softwar']","['mastercam', 'autocad']","['analysi', 'program', 'use', 'vericut', 'cimco']","['program', 'set', 'oper', 'varieti', 'convent', 'cnc', 'machin']",['control'],"['perform', 'precis', 'work', 'exact', 'toler', 'tool', 'r', 'd', 'product', 'engin']","['develop', 'concept', 'idea', 'method', 'solv', 'mill', 'machin', 'problem']","['mount', 'instal', 'align', 'secur', 'tool', 'attach', 'fixtur', 'work', 'piec', 'machin', 'use']","['Read', 'interpret', 'engineering', 'drawing', 'blueprint']","['Verification', 'new', 'product', 'design', 'verify', 'functionality', 'tool', 'required']","['Create', 'multi', 'axis', 'CNC', 'program', 'twin', 'turret', 'lathe', '4', 'axis', 'mill', 'using', 'CAD', 'CAM', 'software']","['Mastercam', 'AutoCAD']","['Analysis', 'program', 'using', 'Vericut', 'CIMCO']","['Program', 'set', 'operate', 'variety', 'conventional', 'CNC', 'machine']",['Control'],"['Performs', 'precision', 'work', 'exact', 'tolerance', 'Tools', 'R', 'D', 'Production', 'Engineering']","['Development', 'concept', 'idea', 'method', 'solving', 'milling', 'machining', 'problem']","['Mount', 'install', 'align', 'secure', 'tool', 'attachment', 'fixture', 'work', 'piece', 'machine', 'using']",0
1024,1024,Full-stack Developer,ReactASP.NETMicrosoft SQL ServerAngularJSREST APIsMySQL,"['Design and development of a web application (Front and Back) that allows the user to consult and create personalized diets composed of a set of meals based on recipes that he can also browse through the site, consult all the matching nutritional information and obtain the shopping list of the ingredients necessary for his diet.']","Design and development of a web application (Front and Back) that allows the user to consult and create personalized diets composed of a set of meals based on recipes that he can also browse through the site, consult all the matching nutritional information and obtain the shopping list of the ingredients necessary for his diet.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Design', 'development', 'web', 'application', 'Front', 'Back', 'allows', 'user', 'consult', 'create', 'personalized', 'diets', 'composed', 'set', 'meals', 'based', 'recipes', 'also', 'browse', 'site', 'consult', 'matching', 'nutritional', 'information', 'obtain', 'shopping', 'list', 'ingredients', 'necessary', 'diet']",[],[],[],[],[],[],[],[],[],"['Design', 'development', 'web', 'application', 'Front', 'Back', 'allows', 'user', 'consult', 'create', 'personalized', 'diets', 'composed', 'set', 'meals', 'based', 'recipes', 'also', 'browse', 'site', 'consult', 'matching', 'nutritional', 'information', 'obtain', 'shopping', 'list', 'ingredients', 'necessary', 'diet']",[],[],[],[],[],[],[],[],[],"['design', 'develop', 'web', 'applic', 'front', 'back', 'allow', 'user', 'consult', 'creat', 'person', 'diet', 'compos', 'set', 'meal', 'base', 'recip', 'also', 'brows', 'site', 'consult', 'match', 'nutrit', 'inform', 'obtain', 'shop', 'list', 'ingredi', 'necessari', 'diet']",[],[],[],[],[],[],[],[],[],"['Design', 'development', 'web', 'application', 'Front', 'Back', 'allows', 'user', 'consult', 'create', 'personalized', 'diet', 'composed', 'set', 'meal', 'based', 'recipe', 'also', 'browse', 'site', 'consult', 'matching', 'nutritional', 'information', 'obtain', 'shopping', 'list', 'ingredient', 'necessary', 'diet']",[],[],[],[],[],[],[],[],[],4
1025,1025,Senior Project Manager,Analytical SkillsProject ManagementStrategyPhysical Asset ManagementInvestment ManagementBusiness English,"['- Structure of a commercial offer and marketing support for asset management services', '- Development of investment strategies and commercial offers for the management of industrial assets', '- Research of IT solutions to improve the operation of industrial asset management services.', '- 2nd place in an intrapreunariate project competition focused on resilience to climate change', '- Creation of digital twin solution for infrastructure']",- Structure of a commercial offer and marketing support for asset management services,- Development of investment strategies and commercial offers for the management of industrial assets,- Research of IT solutions to improve the operation of industrial asset management services.,- 2nd place in an intrapreunariate project competition focused on resilience to climate change,- Creation of digital twin solution for infrastructure,unknown,unknown,unknown,unknown,unknown,"['Structure', 'commercial', 'offer', 'marketing', 'support', 'asset', 'management', 'services']","['Development', 'investment', 'strategies', 'commercial', 'offers', 'management', 'industrial', 'assets']","['Research', 'IT', 'solutions', 'improve', 'operation', 'industrial', 'asset', 'management', 'services']","['2nd', 'place', 'intrapreunariate', 'project', 'competition', 'focused', 'resilience', 'climate', 'change']","['Creation', 'digital', 'twin', 'solution', 'infrastructure']",[],[],[],[],[],"['Structure', 'commercial', 'offer', 'marketing', 'support', 'asset', 'management', 'services']","['Development', 'investment', 'strategies', 'commercial', 'offers', 'management', 'industrial', 'assets']","['Research', 'IT', 'solutions', 'improve', 'operation', 'industrial', 'asset', 'management', 'services']","['2nd', 'place', 'intrapreunariate', 'project', 'competition', 'focused', 'resilience', 'climate', 'change']","['Creation', 'digital', 'twin', 'solution', 'infrastructure']",[],[],[],[],[],"['structur', 'commerci', 'offer', 'market', 'support', 'asset', 'manag', 'servic']","['develop', 'invest', 'strategi', 'commerci', 'offer', 'manag', 'industri', 'asset']","['research', 'it', 'solut', 'improv', 'oper', 'industri', 'asset', 'manag', 'servic']","['2nd', 'place', 'intrapreunari', 'project', 'competit', 'focus', 'resili', 'climat', 'chang']","['creation', 'digit', 'twin', 'solut', 'infrastructur']",[],[],[],[],[],"['Structure', 'commercial', 'offer', 'marketing', 'support', 'asset', 'management', 'service']","['Development', 'investment', 'strategy', 'commercial', 'offer', 'management', 'industrial', 'asset']","['Research', 'IT', 'solution', 'improve', 'operation', 'industrial', 'asset', 'management', 'service']","['2nd', 'place', 'intrapreunariate', 'project', 'competition', 'focused', 'resilience', 'climate', 'change']","['Creation', 'digital', 'twin', 'solution', 'infrastructure']",[],[],[],[],[],0
1026,1026,Full Stack Developer,React.jsGitCommunicationNode.jsExpress.jsCreativity,"['Graduate internship, currently: ', "" • Implementing and improving features for different clients' apps.""]","Graduate internship, currently: ", • Implementing and improving features for different clients' apps.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Graduate', 'internship', 'currently']","['Implementing', 'improving', 'features', 'different', 'clients', 'apps']",[],[],[],[],[],[],[],[],"['Graduate', 'internship', 'currently']","['Implementing', 'improving', 'features', 'different', 'clients', 'apps']",[],[],[],[],[],[],[],[],"['graduat', 'internship', 'current']","['implement', 'improv', 'featur', 'differ', 'client', 'app']",[],[],[],[],[],[],[],[],"['Graduate', 'internship', 'currently']","['Implementing', 'improving', 'feature', 'different', 'client', 'apps']",[],[],[],[],[],[],[],[],4
1027,1027,Digital Activator,Customer analysisLinux System AdministrationJavaScriptPHPE-commerceMarketing strategy,"['France Num is the government initiative for the digital transformation of TPEs/SMEs led by the Directorate-General for Enterprise. France Num provides practical resources, financial aid and a network of advisers (""activators"") which are active throughout the country. The action programme was built in partnership with Regions de France, all regions and professional organisations and is based on the recommendations of the Conseil national du numérique.']","France Num is the government initiative for the digital transformation of TPEs/SMEs led by the Directorate-General for Enterprise. France Num provides practical resources, financial aid and a network of advisers (""activators"") which are active throughout the country. The action programme was built in partnership with Regions de France, all regions and professional organisations and is based on the recommendations of the Conseil national du numérique.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['France', 'Num', 'government', 'initiative', 'digital', 'transformation', 'TPEs', 'SMEs', 'led', 'Directorate', 'General', 'Enterprise', 'France', 'Num', 'provides', 'practical', 'resources', 'financial', 'aid', 'network', 'advisers', 'activators', 'active', 'throughout', 'country', 'The', 'action', 'programme', 'built', 'partnership', 'Regions', 'de', 'France', 'regions', 'professional', 'organisations', 'based', 'recommendations', 'Conseil', 'national', 'du', 'numérique']",[],[],[],[],[],[],[],[],[],"['France', 'Num', 'government', 'initiative', 'digital', 'transformation', 'TPEs', 'SMEs', 'led', 'Directorate', 'General', 'Enterprise', 'France', 'Num', 'provides', 'practical', 'resources', 'financial', 'aid', 'network', 'advisers', 'activators', 'active', 'throughout', 'country', 'The', 'action', 'programme', 'built', 'partnership', 'Regions', 'de', 'France', 'regions', 'professional', 'organisations', 'based', 'recommendations', 'Conseil', 'national', 'du', 'numérique']",[],[],[],[],[],[],[],[],[],"['franc', 'num', 'govern', 'initi', 'digit', 'transform', 'tpe', 'sme', 'led', 'director', 'gener', 'enterpris', 'franc', 'num', 'provid', 'practic', 'resourc', 'financi', 'aid', 'network', 'advis', 'activ', 'activ', 'throughout', 'countri', 'the', 'action', 'programm', 'built', 'partnership', 'region', 'de', 'franc', 'region', 'profession', 'organis', 'base', 'recommend', 'conseil', 'nation', 'du', 'numériqu']",[],[],[],[],[],[],[],[],[],"['France', 'Num', 'government', 'initiative', 'digital', 'transformation', 'TPEs', 'SMEs', 'led', 'Directorate', 'General', 'Enterprise', 'France', 'Num', 'provides', 'practical', 'resource', 'financial', 'aid', 'network', 'adviser', 'activator', 'active', 'throughout', 'country', 'The', 'action', 'programme', 'built', 'partnership', 'Regions', 'de', 'France', 'region', 'professional', 'organisation', 'based', 'recommendation', 'Conseil', 'national', 'du', 'numérique']",[],[],[],[],[],[],[],[],[],0
1028,1028,Accountant,Team spiritCocktailsAdobe PhotoshopAdobe InDesignMicrosoft OfficeSketchUp,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0
1029,1029,Delivery Senior Analyst,Project managementSpirit of innovationTeam spiritManufacturing EngineeringBusiness TransformationBusiness Process Improvement,"['Delivery Lead for a PLM project', '• Acting as Release Train Engineer', '• Primary SAFe Agile Implementation', '• Creation of an Agile Release Train', '• Managing Risks and Opportunities ', '', 'Leads Solution Architects support', '• Drumbeat & Synchronize Leads Solution Architects ', '• Support multiple teams to boost customer deliverables  ', '• Ensure link between Business and IT teams']",Delivery Lead for a PLM project,• Acting as Release Train Engineer,• Primary SAFe Agile Implementation,• Creation of an Agile Release Train,• Managing Risks and Opportunities ,unknown,Leads Solution Architects support,• Drumbeat & Synchronize Leads Solution Architects ,• Support multiple teams to boost customer deliverables  ,• Ensure link between Business and IT teams,"['Delivery', 'Lead', 'PLM', 'project']","['Acting', 'Release', 'Train', 'Engineer']","['Primary', 'SAFe', 'Agile', 'Implementation']","['Creation', 'Agile', 'Release', 'Train']","['Managing', 'Risks', 'Opportunities']",[],"['Leads', 'Solution', 'Architects', 'support']","['Drumbeat', 'Synchronize', 'Leads', 'Solution', 'Architects']","['Support', 'multiple', 'teams', 'boost', 'customer', 'deliverables']","['Ensure', 'link', 'Business', 'IT', 'teams']","['Delivery', 'Lead', 'PLM', 'project']","['Acting', 'Release', 'Train', 'Engineer']","['Primary', 'SAFe', 'Agile', 'Implementation']","['Creation', 'Agile', 'Release', 'Train']","['Managing', 'Risks', 'Opportunities']",[],"['Leads', 'Solution', 'Architects', 'support']","['Drumbeat', 'Synchronize', 'Leads', 'Solution', 'Architects']","['Support', 'multiple', 'teams', 'boost', 'customer', 'deliverables']","['Ensure', 'link', 'Business', 'IT', 'teams']","['deliveri', 'lead', 'plm', 'project']","['act', 'releas', 'train', 'engin']","['primari', 'safe', 'agil', 'implement']","['creation', 'agil', 'releas', 'train']","['manag', 'risk', 'opportun']",[],"['lead', 'solut', 'architect', 'support']","['drumbeat', 'synchron', 'lead', 'solut', 'architect']","['support', 'multipl', 'team', 'boost', 'custom', 'deliver']","['ensur', 'link', 'busi', 'it', 'team']","['Delivery', 'Lead', 'PLM', 'project']","['Acting', 'Release', 'Train', 'Engineer']","['Primary', 'SAFe', 'Agile', 'Implementation']","['Creation', 'Agile', 'Release', 'Train']","['Managing', 'Risks', 'Opportunities']",[],"['Leads', 'Solution', 'Architects', 'support']","['Drumbeat', 'Synchronize', 'Leads', 'Solution', 'Architects']","['Support', 'multiple', 'team', 'boost', 'customer', 'deliverable']","['Ensure', 'link', 'Business', 'IT', 'team']",0
1030,1030,Senior FQA Tester Lead,Microsoft OfficeManagementLeadershipWritingProject ManagementSocial Media,"['• Supervising the quality of the game\'s video games - Call of Duty: Modern Warfare 2"" - supervising the FQA test stage by managing the team\'s testers. ', '• Develop test plans and documentation and ensure that all marked bugs have been properly resolved by linking Lionbridge with stakeholders.  ', '• Manage project progress: assess staff, skills, quantity and type of work to be done. Set up and run bug yards (bug reviews) and provide all necessary documentation. ', '• Lead the discussions on the state of the bugs and the game in the test phase and collaborate in prioritizing the remaining problems to ensure that they are addressed and resolved.  ', '• Supervising staff: training, evaluating performance and, if necessary, discipline employees, and providing advice on division of labour. Support and support for some new QA testers.', '• Execute test cases accurately and efficiently.', '• Report bugs in a clear and concise manner, in accordance with project requirements.', '• Ensure customer satisfaction by providing constructive feedback to improve the quality of the game and the gaming experience.', '• To acquire knowledge on test methodologies and the video game market.', '• Be responsible for work and communication with other team members to provide consistent test cases.']","• Supervising the quality of the game's video games - Call of Duty: Modern Warfare 2"" - supervising the FQA test stage by managing the team's testers. ",• Develop test plans and documentation and ensure that all marked bugs have been properly resolved by linking Lionbridge with stakeholders.  ,"• Manage project progress: assess staff, skills, quantity and type of work to be done. Set up and run bug yards (bug reviews) and provide all necessary documentation. ",• Lead the discussions on the state of the bugs and the game in the test phase and collaborate in prioritizing the remaining problems to ensure that they are addressed and resolved.  ,"• Supervising staff: training, evaluating performance and, if necessary, discipline employees, and providing advice on division of labour. Support and support for some new QA testers.",• Execute test cases accurately and efficiently.,"• Report bugs in a clear and concise manner, in accordance with project requirements.",• Ensure customer satisfaction by providing constructive feedback to improve the quality of the game and the gaming experience.,• To acquire knowledge on test methodologies and the video game market.,• Be responsible for work and communication with other team members to provide consistent test cases.,"['Supervising', 'quality', 'game', 'video', 'games', 'Call', 'Duty', 'Modern', 'Warfare', '2', 'supervising', 'FQA', 'test', 'stage', 'managing', 'team', 'testers']","['Develop', 'test', 'plans', 'documentation', 'ensure', 'marked', 'bugs', 'properly', 'resolved', 'linking', 'Lionbridge', 'stakeholders']","['Manage', 'project', 'progress', 'assess', 'staff', 'skills', 'quantity', 'type', 'work', 'done', 'Set', 'run', 'bug', 'yards', 'bug', 'reviews', 'provide', 'necessary', 'documentation']","['Lead', 'discussions', 'state', 'bugs', 'game', 'test', 'phase', 'collaborate', 'prioritizing', 'remaining', 'problems', 'ensure', 'addressed', 'resolved']","['Supervising', 'staff', 'training', 'evaluating', 'performance', 'necessary', 'discipline', 'employees', 'providing', 'advice', 'division', 'labour', 'Support', 'support', 'new', 'QA', 'testers']","['Execute', 'test', 'cases', 'accurately', 'efficiently']","['Report', 'bugs', 'clear', 'concise', 'manner', 'accordance', 'project', 'requirements']","['Ensure', 'customer', 'satisfaction', 'providing', 'constructive', 'feedback', 'improve', 'quality', 'game', 'gaming', 'experience']","['To', 'acquire', 'knowledge', 'test', 'methodologies', 'video', 'game', 'market']","['Be', 'responsible', 'work', 'communication', 'team', 'members', 'provide', 'consistent', 'test', 'cases']","['Supervising', 'quality', 'game', 'video', 'games', 'Call', 'Duty', 'Modern', 'Warfare', '2', 'supervising', 'FQA', 'test', 'stage', 'managing', 'team', 'testers']","['Develop', 'test', 'plans', 'documentation', 'ensure', 'marked', 'bugs', 'properly', 'resolved', 'linking', 'Lionbridge', 'stakeholders']","['Manage', 'project', 'progress', 'assess', 'staff', 'skills', 'quantity', 'type', 'work', 'done', 'Set', 'run', 'bug', 'yards', 'bug', 'reviews', 'provide', 'necessary', 'documentation']","['Lead', 'discussions', 'state', 'bugs', 'game', 'test', 'phase', 'collaborate', 'prioritizing', 'remaining', 'problems', 'ensure', 'addressed', 'resolved']","['Supervising', 'staff', 'training', 'evaluating', 'performance', 'necessary', 'discipline', 'employees', 'providing', 'advice', 'division', 'labour', 'Support', 'support', 'new', 'QA', 'testers']","['Execute', 'test', 'cases', 'accurately', 'efficiently']","['Report', 'bugs', 'clear', 'concise', 'manner', 'accordance', 'project', 'requirements']","['Ensure', 'customer', 'satisfaction', 'providing', 'constructive', 'feedback', 'improve', 'quality', 'game', 'gaming', 'experience']","['To', 'acquire', 'knowledge', 'test', 'methodologies', 'video', 'game', 'market']","['Be', 'responsible', 'work', 'communication', 'team', 'members', 'provide', 'consistent', 'test', 'cases']","['supervis', 'qualiti', 'game', 'video', 'game', 'call', 'duti', 'modern', 'warfar', '2', 'supervis', 'fqa', 'test', 'stage', 'manag', 'team', 'tester']","['develop', 'test', 'plan', 'document', 'ensur', 'mark', 'bug', 'properli', 'resolv', 'link', 'lionbridg', 'stakehold']","['manag', 'project', 'progress', 'assess', 'staff', 'skill', 'quantiti', 'type', 'work', 'done', 'set', 'run', 'bug', 'yard', 'bug', 'review', 'provid', 'necessari', 'document']","['lead', 'discuss', 'state', 'bug', 'game', 'test', 'phase', 'collabor', 'priorit', 'remain', 'problem', 'ensur', 'address', 'resolv']","['supervis', 'staff', 'train', 'evalu', 'perform', 'necessari', 'disciplin', 'employe', 'provid', 'advic', 'divis', 'labour', 'support', 'support', 'new', 'qa', 'tester']","['execut', 'test', 'case', 'accur', 'effici']","['report', 'bug', 'clear', 'concis', 'manner', 'accord', 'project', 'requir']","['ensur', 'custom', 'satisfact', 'provid', 'construct', 'feedback', 'improv', 'qualiti', 'game', 'game', 'experi']","['to', 'acquir', 'knowledg', 'test', 'methodolog', 'video', 'game', 'market']","['be', 'respons', 'work', 'commun', 'team', 'member', 'provid', 'consist', 'test', 'case']","['Supervising', 'quality', 'game', 'video', 'game', 'Call', 'Duty', 'Modern', 'Warfare', '2', 'supervising', 'FQA', 'test', 'stage', 'managing', 'team', 'tester']","['Develop', 'test', 'plan', 'documentation', 'ensure', 'marked', 'bug', 'properly', 'resolved', 'linking', 'Lionbridge', 'stakeholder']","['Manage', 'project', 'progress', 'ass', 'staff', 'skill', 'quantity', 'type', 'work', 'done', 'Set', 'run', 'bug', 'yard', 'bug', 'review', 'provide', 'necessary', 'documentation']","['Lead', 'discussion', 'state', 'bug', 'game', 'test', 'phase', 'collaborate', 'prioritizing', 'remaining', 'problem', 'ensure', 'addressed', 'resolved']","['Supervising', 'staff', 'training', 'evaluating', 'performance', 'necessary', 'discipline', 'employee', 'providing', 'advice', 'division', 'labour', 'Support', 'support', 'new', 'QA', 'tester']","['Execute', 'test', 'case', 'accurately', 'efficiently']","['Report', 'bug', 'clear', 'concise', 'manner', 'accordance', 'project', 'requirement']","['Ensure', 'customer', 'satisfaction', 'providing', 'constructive', 'feedback', 'improve', 'quality', 'game', 'gaming', 'experience']","['To', 'acquire', 'knowledge', 'test', 'methodology', 'video', 'game', 'market']","['Be', 'responsible', 'work', 'communication', 'team', 'member', 'provide', 'consistent', 'test', 'case']",0
1031,1031,Full Stack Developer,DjangoJavaFull Stack JsFull stackVideo editingLinux System Administration,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],4
1032,1032,Electromechanic,Industrial electricityTyreElectrical engineeringElectromechanicalTroubleshootingPreventive maintenance,['Skills : Industrial electricity · Pneumatics · Electromechanical · Troubleshooting · Preventive maintenance · Maintenance and repair'],Skills : Industrial electricity · Pneumatics · Electromechanical · Troubleshooting · Preventive maintenance · Maintenance and repair,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Skills', 'Industrial', 'electricity', 'Pneumatics', 'Electromechanical', 'Troubleshooting', 'Preventive', 'maintenance', 'Maintenance', 'repair']",[],[],[],[],[],[],[],[],[],"['Skills', 'Industrial', 'electricity', 'Pneumatics', 'Electromechanical', 'Troubleshooting', 'Preventive', 'maintenance', 'Maintenance', 'repair']",[],[],[],[],[],[],[],[],[],"['skill', 'industri', 'electr', 'pneumat', 'electromechan', 'troubleshoot', 'prevent', 'mainten', 'mainten', 'repair']",[],[],[],[],[],[],[],[],[],"['Skills', 'Industrial', 'electricity', 'Pneumatics', 'Electromechanical', 'Troubleshooting', 'Preventive', 'maintenance', 'Maintenance', 'repair']",[],[],[],[],[],[],[],[],[],0
1033,1033,Founder,EntrepreneurshipStrategyMarketing StrategyTeam BuildingStrategic PlanningStart-ups,"['Stealth mode sports nutrition company focus on natural and healthy, functional food and drink products, targeted to youth and young adults. Our patent-depending formulas will revolutionize what athletics put in their bodies for fuel and recovery. Targeted launch Q1, 2023.']","Stealth mode sports nutrition company focus on natural and healthy, functional food and drink products, targeted to youth and young adults. Our patent-depending formulas will revolutionize what athletics put in their bodies for fuel and recovery. Targeted launch Q1, 2023.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Stealth', 'mode', 'sports', 'nutrition', 'company', 'focus', 'natural', 'healthy', 'functional', 'food', 'drink', 'products', 'targeted', 'youth', 'young', 'adults', 'Our', 'patent', 'depending', 'formulas', 'revolutionize', 'athletics', 'put', 'bodies', 'fuel', 'recovery', 'Targeted', 'launch', 'Q1', '2023']",[],[],[],[],[],[],[],[],[],"['Stealth', 'mode', 'sports', 'nutrition', 'company', 'focus', 'natural', 'healthy', 'functional', 'food', 'drink', 'products', 'targeted', 'youth', 'young', 'adults', 'Our', 'patent', 'depending', 'formulas', 'revolutionize', 'athletics', 'put', 'bodies', 'fuel', 'recovery', 'Targeted', 'launch', 'Q1', '2023']",[],[],[],[],[],[],[],[],[],"['stealth', 'mode', 'sport', 'nutrit', 'compani', 'focu', 'natur', 'healthi', 'function', 'food', 'drink', 'product', 'target', 'youth', 'young', 'adult', 'our', 'patent', 'depend', 'formula', 'revolution', 'athlet', 'put', 'bodi', 'fuel', 'recoveri', 'target', 'launch', 'q1', '2023']",[],[],[],[],[],[],[],[],[],"['Stealth', 'mode', 'sport', 'nutrition', 'company', 'focus', 'natural', 'healthy', 'functional', 'food', 'drink', 'product', 'targeted', 'youth', 'young', 'adult', 'Our', 'patent', 'depending', 'formula', 'revolutionize', 'athletics', 'put', 'body', 'fuel', 'recovery', 'Targeted', 'launch', 'Q1', '2023']",[],[],[],[],[],[],[],[],[],0
1034,1034,Senior Program Manager,Project ManagementAgile Project ManagementProject PlanningBusiness IntelligenceData WarehousingETL,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0
1035,1035,Fullstack Web developer,reduxAWS LambdaMicrosoft SQL ServerJavaScriptNode.jsReact.js,['Skills : AWS Lambda · Angular'],Skills : AWS Lambda · Angular,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Skills', 'AWS', 'Lambda', 'Angular']",[],[],[],[],[],[],[],[],[],"['Skills', 'AWS', 'Lambda', 'Angular']",[],[],[],[],[],[],[],[],[],"['skill', 'aw', 'lambda', 'angular']",[],[],[],[],[],[],[],[],[],"['Skills', 'AWS', 'Lambda', 'Angular']",[],[],[],[],[],[],[],[],[],0
